JointType,posX,posY,posZ,orientationW,orientationX,orientationY,orientationZ,elapsedInMillis
SpineBase,-0.1004451,-0.1587566,2.868069,0.03637927,0.004823378,0.9993262,-0.0006935345,20083.6966
SpineMid,-0.0973361,0.1620546,2.867737,0.02529926,0.004830769,0.999668,-0.0006400235,20083.6966
Neck,-0.09529938,0.4750519,2.857808,0.01387027,0.003386347,0.9994816,-0.02885867,20083.6966
Head,-0.07531129,0.6177641,2.836069,0,0,0,0,20083.6966
ShoulderLeft,-0.258296,0.353829,2.845866,-0.03011636,0.7930241,-0.6070971,0.04048234,20083.6966
ElbowLeft,-0.3974865,0.1766572,2.779665,-0.3008054,0.7791039,-0.1796838,-0.5198336,20083.6966
WristLeft,-0.2598981,0.252883,2.612364,-0.1248149,0.43106,0.8064709,-0.3849846,20083.6966
HandLeft,-0.2644925,0.2583715,2.62901,-0.444714,-0.444647,0.6735594,0.3883764,20083.6966
ShoulderRight,0.08157089,0.3446975,2.854483,-0.01285404,0.8020763,0.5968168,-0.01783678,20083.6966
ElbowRight,0.1889569,0.1487037,2.805804,-0.2318655,0.7824355,0.1333766,0.5623555,20083.6966
WristRight,0.078787,0.2310888,2.62162,0.8139125,-0.4344233,-0.1293528,0.363443,20083.6966
HandRight,0.09108604,0.2490537,2.620726,0.9032003,-0.1163908,-0.3105768,-0.2724416,20083.6966
HipLeft,-0.174894,-0.1550682,2.825675,0.1827839,-0.6681707,0.6986387,-0.1790024,20083.6966
KneeLeft,-0.2158252,-0.596091,2.860606,-0.002492291,0.7319922,-0.06061806,-0.6786064,20083.6966
AnkleLeft,-0.211556,-0.9623507,2.878236,-0.0194682,-0.6193838,0.0152662,0.7846984,20083.6966
FootLeft,-0.2358505,-1.027467,2.776452,0,0,0,0,20083.6966
HipRight,-0.02354511,-0.1582197,2.836713,-0.1374006,0.691833,0.6959552,-0.1346643,20083.6966
KneeRight,-0.01110012,-0.5922017,2.873089,0.01802741,0.6810464,0.04031819,0.7309071,20083.6966
AnkleRight,-0.03158947,-0.9713005,2.903482,0.04530068,0.588798,0.01639312,0.8068433,20083.6966
FootRight,-0.01460857,-1.036311,2.844979,0,0,0,0,20083.6966
SpineShoulder,-0.09588383,0.3979731,2.862255,0.01391512,0.002915295,0.999831,-0.01165701,20083.6966
HandTipLeft,-0.2567608,0.3180232,2.58636,0,0,0,0,20083.6966
ThumbLeft,-0.1973619,0.2545079,2.678667,0,0,0,0,20083.6966
HandTipRight,0.09057264,0.2860321,2.590552,0,0,0,0,20083.6966
ThumbRight,0.04888801,0.2680368,2.647,0,0,0,0,20083.6966
SpineBase,-0.1017705,-0.1603965,2.866891,0.03394317,0.005939514,0.9994037,0.00218618,20116.6519
SpineMid,-0.09799852,0.1613178,2.868426,0.024827,0.005919329,0.9996718,0.002240258,20116.6519
Neck,-0.09555155,0.4744685,2.860421,0.01526337,0.004330961,0.9995498,-0.02546464,20116.6519
Head,-0.07650098,0.6170797,2.839793,0,0,0,0,20116.6519
ShoulderLeft,-0.2252727,0.3614255,2.837018,-0.07457743,0.7916514,-0.6025856,0.06794769,20116.6519
ElbowLeft,-0.4122635,0.1923127,2.765497,-0.367281,0.6970705,-0.2060454,-0.5802954,20116.6519
WristLeft,-0.2803327,0.2960572,2.609738,0.7657045,-0.2099669,0.3744828,-0.4789294,20116.6519
HandLeft,-0.2750754,0.3228396,2.6076,0.9106046,0.0028795,0.3999225,-0.1041779,20116.6519
ShoulderRight,0.04179257,0.3416755,2.843439,-0.05770164,0.8267693,0.558206,-0.03910248,20116.6519
ElbowRight,0.1963244,0.1552774,2.799864,-0.3077775,0.6464244,0.1625953,0.6789486,20116.6519
WristRight,0.113442,0.2909337,2.625054,0.7575504,-0.2531569,-0.461712,0.3858122,20116.6519
HandRight,0.1000948,0.3019586,2.621056,0.8213472,0.05666692,-0.3682981,0.4318959,20116.6519
HipLeft,-0.176601,-0.1564156,2.824886,0.1823719,-0.6679172,0.6999362,-0.175261,20116.6519
KneeLeft,-0.2162777,-0.5962598,2.860203,-0.001371496,0.7302539,-0.06003994,-0.6805311,20116.6519
