JointType,posX,posY,posZ,orientationW,orientationX,orientationY,orientationZ,elapsedInMillis
SpineBase,0.1457836,0.03128981,3.198636,-0.02144494,0.01531621,0.9989043,-0.03867383,23404.61
SpineMid,0.1547109,0.3386955,3.1746,-0.02345514,0.01539401,0.9988591,-0.03864292,23404.61
Neck,0.1636184,0.6381021,3.138359,-0.0259429,0.01641486,0.9966696,-0.07554632,23404.61
Head,0.1787602,0.768881,3.08145,0,0,0,0,23404.61
ShoulderLeft,-0.01315189,0.5512098,3.171999,0.08179492,0.7329865,-0.6752898,-0.004912572,23404.61
ElbowLeft,-0.2271315,0.4321857,3.200713,0.4806289,-0.1705618,0.1661321,0.8439814,23404.61
WristLeft,-0.2300552,0.6491307,3.091556,-0.6593528,0.1519747,0.7154508,-0.1740334,23404.61
HandLeft,-0.2373328,0.7188711,3.070465,-0.6806847,0.06396211,0.7161649,-0.1403038,23404.61
ShoulderRight,0.3474178,0.5323371,3.155505,0.04900876,0.7639977,0.6424463,-0.03418197,23404.61
ElbowRight,0.5507432,0.4292123,3.177687,-0.5100176,0.1064281,0.1215595,0.8448541,23404.61
WristRight,0.5557029,0.6460631,3.105562,0.8056709,-0.1241045,0.570288,-0.1013119,23404.61
HandRight,0.5653639,0.7255046,3.080612,0.8087384,-0.09012669,0.5654998,-0.1342735,23404.61
HipLeft,0.06550778,0.03045402,3.165818,0.1068627,-0.6908729,0.69553,-0.1658704,23404.61
KneeLeft,0.04345378,-0.3826774,3.278128,-0.07276577,-0.6858534,0.1133794,0.7151611,23404.61
AnkleLeft,0.04980005,-0.7281982,3.368873,-0.08740085,-0.6229525,0.09400783,0.7716565,23404.61
FootLeft,0.03432626,-0.8026305,3.308552,0,0,0,0,23404.61
HipRight,0.2227329,0.03135219,3.158798,-0.1479003,0.6817902,0.6917264,-0.1865534,23404.61
KneeRight,0.2545482,-0.3778124,3.192845,0.003268729,0.7225943,0.05657491,0.6889457,23404.61
AnkleRight,0.2454473,-0.7444196,3.242675,0.055363,0.6862438,0.04050225,0.7241297,23404.61
FootRight,0.2480933,-0.8176644,3.171386,0,0,0,0,23404.61
SpineShoulder,0.1614694,0.564377,3.149659,-0.02565716,0.01630865,0.9980462,-0.05458601,23404.61
HandTipLeft,-0.2470526,0.7914945,3.064301,0,0,0,0,23404.61
ThumbLeft,-0.2839063,0.7131923,3.05353,0,0,0,0,23404.61
HandTipRight,0.5842614,0.7978789,3.060618,0,0,0,0,23404.61
ThumbRight,0.6236104,0.7312475,3.0896,0,0,0,0,23404.61
SpineBase,0.1468109,0.0317904,3.197513,-0.02023512,0.01644393,0.9988947,-0.03910947,23436.6707
SpineMid,0.156449,0.3389143,3.173225,-0.02276355,0.01654287,0.9988403,-0.03906772,23436.6707
Neck,0.1659774,0.6380051,3.136798,-0.0258253,0.01738047,0.9966319,-0.07586762,23436.6707
Head,0.180192,0.7691321,3.080401,0,0,0,0,23436.6707
ShoulderLeft,-0.01252337,0.5509607,3.171,0.08265582,0.7331957,-0.6749552,-0.005253132,23436.6707
ElbowLeft,-0.2313237,0.4480366,3.193908,0.5096201,-0.1800725,0.1685428,0.8242903,23436.6707
WristLeft,-0.2354052,0.6472838,3.088661,-0.6440356,0.1526516,0.7261245,-0.1861686,23436.6707
HandLeft,-0.24911,0.7306589,3.058151,-0.6693904,0.06107699,0.7183093,-0.179493,23436.6707
ShoulderRight,0.3490103,0.5325107,3.154347,0.04998774,0.7638767,0.6425378,-0.03374643,23436.6707
ElbowRight,0.5505205,0.4288201,3.181151,-0.504499,0.110276,0.1352458,0.8455937,23436.6707
WristRight,0.5703005,0.6519069,3.09933,0.7822335,-0.1131089,0.5965865,-0.1392898,23436.6707
HandRight,0.5832974,0.7263885,3.07214,0.7838077,-0.0880459,0.5908825,-0.1695623,23436.6707
HipLeft,0.06657006,0.03113094,3.164507,0.1071343,-0.6898549,0.6962198,-0.1670346,23436.6707
KneeLeft,0.04376374,-0.3820418,3.277054,-0.0724197,-0.6865647,0.1140865,0.7144008,23436.6707
AnkleLeft,0.05004023,-0.7282351,3.368698,-0.08718896,-0.616961,0.09550466,0.7762964,23436.6707
FootLeft,0.03366559,-0.8010532,3.30976,0,0,0,0,23436.6707
HipRight,0.2236979,0.03169334,3.157882,-0.1472028,0.6826012,0.6912093,-0.1860554,23436.6707
KneeRight,0.2555205,-0.3766879,3.191788,0.003078246,0.7217883,0.05657492,0.689791,23436.6707
AnkleRight,0.2458078,-0.7445307,3.242735,0.05681023,0.6864119,0.04086247,0.7238381,23436.6707
FootRight,0.2483052,-0.8172998,3.171627,0,0,0,0,23436.6707
SpineShoulder,0.1636869,0.5643619,3.148138,-0.02550935,0.01738172,0.9980127,-0.0549348,23436.6707
HandTipLeft,-0.2624378,0.8040362,3.049208,0,0,0,0,23436.6707
ThumbLeft,-0.2985618,0.7255163,3.037667,0,0,0,0,23436.6707
HandTipRight,0.6037674,0.7958093,3.052871,0,0,0,0,23436.6707
ThumbRight,0.635079,0.7235903,3.073385,0,0,0,0,23436.6707
SpineBase,0.1483318,0.03226405,3.196347,-0.02121026,0.01613758,0.9988737,-0.03925786,23470.4098
SpineMid,0.1577599,0.3395258,3.171951,-0.02286523,0.0162026,0.9988371,-0.03923106,23470.4098
Neck,0.1669264,0.6387945,3.135471,-0.02505064,0.01666203,0.9966581,-0.0759432,23470.4098
Head,0.1816517,0.7688047,3.079126,0,0,0,0,23470.4098
ShoulderLeft,-0.01141631,0.5512037,3.168995,0.08131057,0.7341752,-0.6740631,-0.003784803,23470.4098
ElbowLeft,-0.2392305,0.4670798,3.185093,0.5457916,-0.189644,0.1711413,0.7980334,23470.4098
WristLeft,-0.2511657,0.6638479,3.07484,-0.6093145,0.137738,0.7512124,-0.2131763,23470.4098
HandLeft,-0.2650343,0.7517316,3.044771,-0.6332653,0.04730365,0.7529045,-0.1728358,23470.4098
ShoulderRight,0.3508524,0.5334498,3.152851,0.04956041,0.7633046,0.6432363,-0.03401298,23470.4098
ElbowRight,0.5597423,0.447994,3.179759,-0.5372334,0.1233372,0.1529498,0.8202284,23470.4098
WristRight,0.587236,0.6572828,3.091665,0.7875941,-0.1219508,0.5806841,-0.1662217,23470.4098
HandRight,0.6014698,0.732469,3.064281,0.7935621,-0.08641104,0.5768939,-0.1731645,23470.4098
HipLeft,0.0680606,0.03163848,3.163506,0.1064875,-0.6898773,0.6964583,-0.1663601,23470.4098
KneeLeft,0.04380547,-0.3824182,3.275848,-0.07080024,-0.6861027,0.114904,0.7148758,23470.4098
AnkleLeft,0.05030952,-0.729341,3.368042,-0.08784089,-0.6179088,0.0955789,0.7754594,23470.4098
FootLeft,0.0340878,-0.8014766,3.308641,0,0,0,0,23470.4098
HipRight,0.2252128,0.03212537,3.15658,-0.1474877,0.6825861,0.6909749,-0.1867545,23470.4098
KneeRight,0.255879,-0.3766803,3.191554,0.005042173,0.7224661,0.05639168,0.6890844,23470.4098
AnkleRight,0.2458742,-0.7451743,3.242583,0.05700714,0.6852865,0.04068718,0.7248982,23470.4098
FootRight,0.2484537,-0.8186293,3.173293,0,0,0,0,23470.4098
SpineShoulder,0.1647328,0.5651039,3.146825,-0.02474021,0.01674758,0.9980384,-0.05501812,23470.4098
HandTipLeft,-0.2758781,0.8250099,3.037568,0,0,0,0,23470.4098
ThumbLeft,-0.3143849,0.7426813,3.022857,0,0,0,0,23470.4098
HandTipRight,0.6243337,0.8002523,3.042223,0,0,0,0,23470.4098
ThumbRight,0.6634493,0.7344269,3.074857,0,0,0,0,23470.4098
SpineBase,0.1497583,0.03305924,3.195395,-0.02153284,0.01642456,0.9988545,-0.03944829,23503.8548
SpineMid,0.1593459,0.3400922,3.170892,-0.02287647,0.01647762,0.9988247,-0.03942616,23503.8548
Neck,0.1685169,0.6391678,3.134348,-0.02477572,0.01656657,0.9966567,-0.07607421,23503.8548
Head,0.1834598,0.7688836,3.078494,0,0,0,0,23503.8548
ShoulderLeft,-0.01084577,0.5512682,3.1678,0.08095895,0.7346985,-0.673538,-0.003223191,23503.8548
ElbowLeft,-0.2475661,0.4838352,3.178334,0.5763708,-0.1987768,0.1758968,0.7728809,23503.8548
WristLeft,-0.2684484,0.7049119,3.04686,-0.6185334,0.1375262,0.7387526,-0.2296684,23503.8548
HandLeft,-0.2789645,0.765728,3.034406,-0.6522255,0.002183856,0.746697,-0.1305403,23503.8548
ShoulderRight,0.353178,0.534838,3.151595,0.04934237,0.761462,0.6454253,-0.03416415,23503.8548
ElbowRight,0.5704825,0.4612691,3.164389,-0.5689346,0.1306017,0.12738,0.8018921,23503.8548
WristRight,0.6071128,0.6657816,3.084539,0.7692205,-0.09180713,0.6063884,-0.1793443,23503.8548
HandRight,0.6263793,0.7458531,3.055009,0.7718073,-0.06684539,0.6015916,-0.1947628,23503.8548
HipLeft,0.06955932,0.03247055,3.162614,0.106194,-0.6897132,0.6966531,-0.1664117,23503.8548
KneeLeft,0.04384802,-0.3826294,3.274442,-0.06897094,-0.6860315,0.1153995,0.7150431,23503.8548
AnkleLeft,0.05040237,-0.7296559,3.367716,-0.0887229,-0.6174632,0.09667484,0.7755782,23503.8548
FootLeft,0.03397203,-0.8019118,3.30784,0,0,0,0,23503.8548
HipRight,0.2265385,0.03287138,3.155596,-0.1477241,0.6826943,0.6907181,-0.1871219,23503.8548
KneeRight,0.2572057,-0.3751346,3.190182,0.004727263,0.7226914,0.05617801,0.6888678,23503.8548
AnkleRight,0.2463137,-0.7452723,3.242471,0.05886047,0.687007,0.04075688,0.7231154,23503.8548
FootRight,0.248347,-0.8186426,3.173445,0,0,0,0,23503.8548
SpineShoulder,0.1663361,0.5655235,3.145714,-0.02445433,0.01678307,0.9980363,-0.05517045,23503.8548
HandTipLeft,-0.2943747,0.8389905,3.027925,0,0,0,0,23503.8548
ThumbLeft,-0.3284669,0.7564111,3.009875,0,0,0,0,23503.8548
HandTipRight,0.6562477,0.8163294,3.042848,0,0,0,0,23503.8548
ThumbRight,0.6734956,0.7353095,3.0505,0,0,0,0,23503.8548
SpineBase,0.1516705,0.03441206,3.19346,-0.02412531,0.01785013,0.9987556,-0.03983117,23537.6764
SpineMid,0.1620453,0.3407896,3.168725,-0.0242625,0.01785561,0.9987524,-0.03982871,23537.6764
Neck,0.1720807,0.6391784,3.13187,-0.02498992,0.01812299,0.9965714,-0.07676271,23537.6764
Head,0.185595,0.7696053,3.07698,0,0,0,0,23537.6764
ShoulderLeft,-0.01028143,0.552303,3.166698,0.08333909,0.7326866,-0.6754278,-0.004705507,23537.6764
ElbowLeft,-0.2441769,0.4954741,3.1798,0.5881516,-0.1997389,0.1902712,0.7602493,23537.6764
WristLeft,-0.2794189,0.714995,3.040733,-0.6240189,0.1269184,0.7274242,-0.2556288,23537.6764
HandLeft,-0.2963005,0.7860942,3.019907,-0.659189,0.009515883,0.7302858,-0.1790587,23537.6764
ShoulderRight,0.3563107,0.5357318,3.150024,0.0514288,0.7603725,0.646603,-0.0330646,23537.6764
ElbowRight,0.5853151,0.478515,3.153244,-0.6027408,0.1486395,0.1245606,0.7740119,23537.6764
WristRight,0.6424598,0.6948341,3.061287,0.7766373,-0.08271784,0.586481,-0.2145516,23537.6764
HandRight,0.6547773,0.7586765,3.045042,0.7900517,-0.04222248,0.5933992,-0.14803,23537.6764
HipLeft,0.07150426,0.03372688,3.161091,0.1040028,-0.6903023,0.696578,-0.165666,23537.6764
KneeLeft,0.04387992,-0.3838528,3.270977,-0.06515282,-0.6843931,0.114905,0.7170481,23537.6764
AnkleLeft,0.04957056,-0.7302814,3.366456,-0.08977741,-0.6174743,0.09986543,0.7750435,23537.6764
FootLeft,0.03318255,-0.8016917,3.307412,0,0,0,0,23537.6764
HipRight,0.2283815,0.03431041,3.153225,-0.1496911,0.6819613,0.6906561,-0.1884556,23537.6764
KneeRight,0.2589985,-0.3725365,3.188356,0.005419596,0.724542,0.05673281,0.6868705,23537.6764
AnkleRight,0.2466711,-0.7446843,3.242347,0.06152261,0.6879445,0.04075514,0.7220017,23537.6764
FootRight,0.2482176,-0.8183693,3.173644,0,0,0,0,23537.6764
SpineShoulder,0.1696791,0.5657147,3.143319,-0.02464235,0.01826357,0.9979734,-0.05575152,23537.6764
HandTipLeft,-0.316524,0.8594095,3.019049,0,0,0,0,23537.6764
ThumbLeft,-0.3405547,0.7659388,2.998158,0,0,0,0,23537.6764
HandTipRight,0.6842494,0.8323442,3.035916,0,0,0,0,23537.6764
ThumbRight,0.7010419,0.742363,3.047286,0,0,0,0,23537.6764
SpineBase,0.1529995,0.03555798,3.191953,-0.0252506,0.0193343,0.9987148,-0.03946215,23569.9566
SpineMid,0.1642455,0.341421,3.167451,-0.02526376,0.01933482,0.9987145,-0.0394619,23569.9566
Neck,0.175355,0.6393123,3.13082,-0.02589102,0.0201501,0.9965371,-0.07640352,23569.9566
Head,0.1875286,0.7704854,3.076114,0,0,0,0,23569.9566
ShoulderLeft,-0.009929799,0.55321,3.165899,0.08306301,0.7311405,-0.6771322,-0.00510103,23569.9566
ElbowLeft,-0.2458284,0.5207754,3.173844,0.624896,-0.2091893,0.2035604,0.7240912,23569.9566
WristLeft,-0.2958743,0.7287146,3.031497,-0.6298801,0.1161528,0.7126946,-0.2860526,23569.9566
HandLeft,-0.3141693,0.7994577,3.009272,-0.6649964,0.0107065,0.7217383,-0.191726,23569.9566
ShoulderRight,0.360347,0.5370781,3.148121,0.04967549,0.7582239,0.6492076,-0.03403792,23569.9566
ElbowRight,0.6001893,0.4982693,3.143513,-0.6375492,0.1517633,0.1169587,0.7462034,23569.9566
WristRight,0.6577813,0.7057587,3.056284,0.7590077,-0.07083469,0.6086428,-0.2200993,23569.9566
HandRight,0.6885291,0.775896,3.036885,0.7702621,0.02188884,0.5921186,-0.2358234,23569.9566
HipLeft,0.07298878,0.03496905,3.159764,0.1034479,-0.6899886,0.697054,-0.1653177,23569.9566
KneeLeft,0.04310548,-0.3836499,3.266298,-0.06035182,-0.6838812,0.1138326,0.718127,23569.9566
AnkleLeft,0.04935273,-0.7310111,3.365588,-0.09128993,-0.6021188,0.1048435,0.7862105,23569.9566
FootLeft,0.02994694,-0.8034316,3.307203,0,0,0,0,23569.9566
HipRight,0.2295354,0.03534231,3.151561,-0.1511826,0.6823636,0.6898534,-0.1887487,23569.9566
KneeRight,0.2594904,-0.3724223,3.188249,0.00741536,0.7254017,0.05730837,0.6858959,23569.9566
AnkleRight,0.2467937,-0.7435915,3.242501,0.06228915,0.6881811,0.04074593,0.7217109,23569.9566
FootRight,0.2481779,-0.8181346,3.174035,0,0,0,0,23569.9566
SpineShoulder,0.1726665,0.5659794,3.142206,-0.02552384,0.02007583,0.9979348,-0.05542218,23569.9566
HandTipLeft,-0.3333344,0.8723931,3.00736,0,0,0,0,23569.9566
ThumbLeft,-0.3561109,0.7764484,2.985048,0,0,0,0,23569.9566
HandTipRight,0.7192351,0.8481759,3.030991,0,0,0,0,23569.9566
ThumbRight,0.7332272,0.7550361,3.039562,0,0,0,0,23569.9566
SpineBase,0.1547159,0.03721863,3.191365,-0.02452516,0.01896206,0.9987376,-0.03952266,23603.5595
SpineMid,0.1657273,0.3424442,3.16689,-0.02497018,0.01897966,0.9987266,-0.0395142,23603.5595
Neck,0.1764528,0.6398533,3.130339,-0.02603286,0.01948003,0.996548,-0.076387,23603.5595
Head,0.1897775,0.770534,3.076257,0,0,0,0,23603.5595
ShoulderLeft,-0.009102282,0.5544433,3.164687,0.08162988,0.7300299,-0.6785119,-0.003814786,23603.5595
ElbowLeft,-0.2464817,0.5337917,3.17061,0.6429306,-0.2094536,0.2081299,0.7067187,23603.5595
WristLeft,-0.3152215,0.7484368,3.021743,0.6696488,-0.1106391,-0.6700004,0.300714,23603.5595
HandLeft,-0.3393529,0.8251533,2.998566,0.707668,-0.0004914107,-0.6763983,0.2041838,23603.5595
ShoulderRight,0.3650563,0.5392123,3.146693,0.04773133,0.7547782,0.6532837,-0.03538306,23603.5595
ElbowRight,0.600427,0.4992612,3.145699,-0.6326706,0.1531986,0.1267159,0.7484659,23603.5595
WristRight,0.7040164,0.7223629,3.045027,0.7754788,-0.04013652,0.5642171,-0.2805009,23603.5595
HandRight,0.7247429,0.7857509,3.02944,0.7958304,-0.003855221,0.5739534,-0.1929161,23603.5595
HipLeft,0.07501415,0.03699774,3.159016,0.1048046,-0.6882892,0.6983781,-0.1659578,23603.5595
KneeLeft,0.04154273,-0.3841359,3.259403,-0.0523341,-0.6852709,0.111066,0.7178644,23603.5595
AnkleLeft,0.04913787,-0.7316246,3.365237,-0.09665524,-0.5923298,0.1115999,0.7920533,23603.5595
FootLeft,0.0279353,-0.8050557,3.30752,0,0,0,0,23603.5595
HipRight,0.2309293,0.03663464,3.151136,-0.150779,0.683785,0.6883876,-0.1892781,23603.5595
KneeRight,0.2612306,-0.3699683,3.187018,0.006384221,0.7248758,0.05711063,0.6864784,23603.5595
AnkleRight,0.2464525,-0.742904,3.24287,0.06532989,0.6862668,0.04032334,0.7232869,23603.5595
FootRight,0.2478614,-0.8177021,3.17447,0,0,0,0,23603.5595
SpineShoulder,0.1738688,0.5666254,3.141703,-0.02567091,0.01949534,0.9979437,-0.0554015,23603.5595
HandTipLeft,-0.3603169,0.9042732,3.00419,0,0,0,0,23603.5595
ThumbLeft,-0.387088,0.8099865,2.9838,0,0,0,0,23603.5595
HandTipRight,0.7594796,0.8562498,3.024822,0,0,0,0,23603.5595
ThumbRight,0.7679754,0.7644937,3.03675,0,0,0,0,23603.5595
SpineBase,0.1567249,0.03897594,3.189328,-0.02310079,0.01918461,0.9987409,-0.04018667,23637.4123
SpineMid,0.1678778,0.3436206,3.164505,-0.02402353,0.01922173,0.9987192,-0.04016893,23637.4123
Neck,0.1785938,0.6404755,3.127608,-0.02559607,0.01938067,0.9965038,-0.07713293,23637.4123
Head,0.1916765,0.7703736,3.075156,0,0,0,0,23637.4123
ShoulderLeft,-0.007476768,0.5571745,3.161414,0.0809857,0.7263367,-0.6825476,-0.002260623,23637.4123
ElbowLeft,-0.246763,0.555593,3.153927,0.6763759,-0.2205309,0.1980215,0.6742916,23637.4123
WristLeft,-0.3253058,0.7588109,3.011731,-0.6020107,0.06155587,0.7267311,-0.3250478,23637.4123
HandLeft,-0.3574829,0.832815,2.983671,0.6824203,0.01787405,-0.6836659,0.2580388,23637.4123
ShoulderRight,0.3691218,0.5420579,3.143703,0.0474653,0.7508005,0.6578336,-0.03606421,23637.4123
ElbowRight,0.6046255,0.505765,3.145664,-0.6349745,0.1613917,0.1437187,0.7416907,23637.4123
WristRight,0.7198645,0.7224194,3.038505,0.7593121,-0.03172566,0.572708,-0.3073179,23637.4123
HandRight,0.7598234,0.7860485,3.016814,0.7732991,0.03830129,0.5557186,-0.3028502,23637.4123
HipLeft,0.07728555,0.03910478,3.156729,0.1058745,-0.6864542,0.6996719,-0.1674227,23637.4123
KneeLeft,0.03996756,-0.3839288,3.246707,-0.0409095,-0.6873063,0.105247,0.7175371,23637.4123
AnkleLeft,0.04833205,-0.7323161,3.363564,-0.1055299,-0.5899152,0.1222409,0.7911516,23637.4123
FootLeft,0.02659197,-0.8043239,3.305592,0,0,0,0,23637.4123
HipRight,0.2326289,0.03801565,3.149374,-0.1497325,0.6853066,0.6870101,-0.1896105,23637.4123
KneeRight,0.2621264,-0.3708698,3.18641,0.007959709,0.7239035,0.05705658,0.6874917,23637.4123
AnkleRight,0.2462451,-0.7423521,3.242926,0.06709955,0.6836787,0.04032892,0.725572,23637.4123
FootRight,0.2479821,-0.8176289,3.174544,0,0,0,0,23637.4123
SpineShoulder,0.1760267,0.5673832,3.139062,-0.0252205,0.01953545,0.9979166,-0.05607653,23637.4123
HandTipLeft,-0.3899614,0.9070982,2.986794,0,0,0,0,23637.4123
ThumbLeft,-0.3937083,0.8005577,2.963609,0,0,0,0,23637.4123
HandTipRight,0.8077732,0.8577992,3.020257,0,0,0,0,23637.4123
ThumbRight,0.7901643,0.751349,3.019267,0,0,0,0,23637.4123
SpineBase,0.159439,0.04069818,3.188061,-0.02418696,0.02119843,0.998613,-0.04168603,23670.4275
SpineMid,0.1717477,0.344627,3.162333,-0.02418314,0.02119827,0.9986131,-0.0416861,23670.4275
Neck,0.1838051,0.6405615,3.124267,-0.02489218,0.02176639,0.996289,-0.07946591,23670.4275
Head,0.1951753,0.7702062,3.072824,0,0,0,0,23670.4275
ShoulderLeft,-0.005013616,0.5594926,3.158587,0.08239688,0.722463,-0.6864818,-0.0008946379,23670.4275
ElbowLeft,-0.2456757,0.564782,3.151332,0.682524,-0.227878,0.212468,0.6611278,23670.4275
WristLeft,-0.3358421,0.7616795,3.005424,-0.5710974,0.03581908,0.7422004,-0.34886,23670.4275
HandLeft,-0.376509,0.8382623,2.975348,-0.6127165,-0.06834053,0.7360674,-0.2794869,23670.4275
ShoulderRight,0.3734811,0.5455795,3.140957,0.04937979,0.7455019,0.6636764,-0.03636177,23670.4275
ElbowRight,0.611866,0.5160427,3.143659,-0.6427166,0.1722177,0.1594914,0.7292592,23670.4275
WristRight,0.7526507,0.7158978,3.034385,0.7670899,-0.01859909,0.5336206,-0.355635,23670.4275
HandRight,0.8009046,0.7898477,3.009764,0.7916879,0.03553531,0.5259116,-0.3088439,23670.4275
HipLeft,0.08003903,0.04112907,3.155632,0.1039514,-0.685015,0.7012175,-0.168055,23670.4275
KneeLeft,0.03834067,-0.3818009,3.23655,-0.02995693,-0.6871352,0.1014734,0.7187845,23670.4275
AnkleLeft,0.04711599,-0.7333876,3.361608,-0.1102951,-0.5835757,0.1299177,0.7939746,23670.4275
FootLeft,0.02391854,-0.8063143,3.303722,0,0,0,0,23670.4275
HipRight,0.2352433,0.03940057,3.147965,-0.1501457,0.6864523,0.6854863,-0.1906516,23670.4275
KneeRight,0.2624866,-0.3710532,3.186313,0.01102876,0.7247046,0.05594616,0.6866962,23670.4275
AnkleRight,0.2461661,-0.7423051,3.242947,0.06763305,0.6829981,0.04012441,0.7261744,23670.4275
FootRight,0.2479542,-0.8175805,3.174754,0,0,0,0,23670.4275
SpineShoulder,0.1808947,0.567723,3.136039,-0.02447013,0.02181179,0.9977742,-0.0580707,23670.4275
HandTipLeft,-0.4147548,0.913618,2.980071,0,0,0,0,23670.4275
